"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ELDLYPOP","TOT","PC_POP","A","1970",14.07584,
"AUT","ELDLYPOP","TOT","PC_POP","A","1971",14.21428,
"AUT","ELDLYPOP","TOT","PC_POP","A","1972",14.34364,
"AUT","ELDLYPOP","TOT","PC_POP","A","1973",14.47384,
"AUT","ELDLYPOP","TOT","PC_POP","A","1974",14.65295,
"AUT","ELDLYPOP","TOT","PC_POP","A","1975",14.87109,
"AUT","ELDLYPOP","TOT","PC_POP","A","1976",15.04021,
"AUT","ELDLYPOP","TOT","PC_POP","A","1977",15.19151,
"AUT","ELDLYPOP","TOT","PC_POP","A","1978",15.34134,
"AUT","ELDLYPOP","TOT","PC_POP","A","1979",15.45167,
"AUT","ELDLYPOP","TOT","PC_POP","A","1980",15.40414,
"AUT","ELDLYPOP","TOT","PC_POP","A","1981",15.11236,
"AUT","ELDLYPOP","TOT","PC_POP","A","1982",14.73642,
"AUT","ELDLYPOP","TOT","PC_POP","A","1983",14.37423,
"AUT","ELDLYPOP","TOT","PC_POP","A","1984",14.16432,
"AUT","ELDLYPOP","TOT","PC_POP","A","1985",14.19453,
"AUT","ELDLYPOP","TOT","PC_POP","A","1986",14.34821,
"AUT","ELDLYPOP","TOT","PC_POP","A","1987",14.55084,
"AUT","ELDLYPOP","TOT","PC_POP","A","1988",14.74311,
"AUT","ELDLYPOP","TOT","PC_POP","A","1989",14.86771,
"AUT","ELDLYPOP","TOT","PC_POP","A","1990",14.934,
"AUT","ELDLYPOP","TOT","PC_POP","A","1991",14.94385,
"AUT","ELDLYPOP","TOT","PC_POP","A","1992",14.91368,
"AUT","ELDLYPOP","TOT","PC_POP","A","1993",14.92583,
"AUT","ELDLYPOP","TOT","PC_POP","A","1994",15.0107,
"AUT","ELDLYPOP","TOT","PC_POP","A","1995",15.12837,
"AUT","ELDLYPOP","TOT","PC_POP","A","1996",15.23093,
"AUT","ELDLYPOP","TOT","PC_POP","A","1997",15.31532,
"AUT","ELDLYPOP","TOT","PC_POP","A","1998",15.38168,
"AUT","ELDLYPOP","TOT","PC_POP","A","1999",15.4109,
"AUT","ELDLYPOP","TOT","PC_POP","A","2000",15.4257,
"AUT","ELDLYPOP","TOT","PC_POP","A","2001",15.46345,
"AUT","ELDLYPOP","TOT","PC_POP","A","2002",15.46417,
"AUT","ELDLYPOP","TOT","PC_POP","A","2003",15.44418,
"AUT","ELDLYPOP","TOT","PC_POP","A","2004",15.71051,
"AUT","ELDLYPOP","TOT","PC_POP","A","2005",16.22272,
"AUT","ELDLYPOP","TOT","PC_POP","A","2006",16.66498,
"AUT","ELDLYPOP","TOT","PC_POP","A","2007",17.0263,
"AUT","ELDLYPOP","TOT","PC_POP","A","2008",17.26226,
"AUT","ELDLYPOP","TOT","PC_POP","A","2009",17.52617,
"AUT","ELDLYPOP","TOT","PC_POP","A","2010",17.67241,
"AUT","ELDLYPOP","TOT","PC_POP","A","2011",17.68956,
"AUT","ELDLYPOP","TOT","PC_POP","A","2012",17.94689,
"AUT","ELDLYPOP","TOT","PC_POP","A","2013",18.2115,"B"
"BEL","ELDLYPOP","TOT","PC_POP","A","1970",13.39274,
"BEL","ELDLYPOP","TOT","PC_POP","A","1971",13.49166,
"BEL","ELDLYPOP","TOT","PC_POP","A","1972",13.60937,
